Сущность	Контекст	Имеющиеся отчёты (AS-IS)	Новые отчёты / Исследования (TO-BE)
Покупатель	Ассортимент	REP-04: Чековая аналитика (косвенно).	NEW-REP-01: CDT (Customer Decision Tree) (Исследование дерева принятия решений).
Покупатель	Ассортимент	REP-04: Структура подгруппы по ЦС.	NEW-REP-02: Спектр чека (Анализ переключений покупателя между SKU внутри категории).
Покупатель	Ассортимент	REP-14: Динамика показателей: LFL, пенетрация, доля e-com.	NEW-REP-03: Миссии (В каких ситуациях к нам идут).
Покупатель	Цена/Промо	REP-04: Чековая аналитика (Средний чек, цена за шт).	NEW-REP-04: Price Perception Index (PPI) (Опросный индекс ценового восприятия).
Покупатель	Цена/Промо	REP-15: EDLP, EDPP динамика (ищут ли первую цену).	NEW-REP-05: KVI Index (Индекс цен по корзине товаров-маркеров глазами покупателя).
Покупатель	Выкладка		NEW-REP-06: Айтрекинг / Heatmap (Карта внимания покупателя на полке).
Покупатель	Выкладка		NEW-REP-07: Планограмма глазами покупателя (Соответствие планограммы дереву CDT).
Покупатель	Операции		NEW-REP-08: NPS Категории (Опрос).
Покупатель	Операции		NEW-REP-09: CSI (Customer Satisfaction Index) (Оценка свежести/качества).
Покупатель	Поставщики		NEW-REP-10: Brand Health Tracking (Знание брендов (top of mind), лояльность к брендам).
Рынок	Ассортимент	REP-08: Доля Дикси на рынке.	NEW-REP-11: Тренды новинок (Innovation Report) (Анализ запусков на рынке за последние 6-12 мес).
Рынок	Ассортимент	REP-09: Динамика продаж (руб.) подгрупп Дикси vs Рынок без Дикси.	
Рынок	Ассортимент	REP-10: Динамика доли подгрупп Дикси на Рынке по оценке Nielsen.	
Рынок	Ассортимент	REP-11: Структура продаж Дикси vs Рынок без Дикси .	
Рынок	Ассортимент	REP-13: Топ SKU Рынка (Nielsen).	
Рынок	Поставщики	REP-12: Топ-20 производителей (Рынок vs Дикси).	NEW-REP-12: индекс HHI по поставщикам (Риски зависимости)
Конкуренция	Ассортимент	REP-06: Аналитика по фасетам (сравнение с КиБ, БРЛ, Пят).	NEW-REP-13: Матрица уникальности (% уникального ассортимента Дикси vs Конкуренты).
Конкуренция	Ассортимент	REP-19: Топ SKU Магнита (эксклюзивы конкурента).	
Конкуренция	Цена/Промо	REP-20: Ценовые лестницы (сравнение диапазонов).	NEW-REP-14: Ценовой индекс (PI): (Прямое сравнение цен на аналогах, мониторинг).
Конкуренция	Цена/Промо	REP-05: Продажи LFL по ценовым сегментам.	NEW-REP-15: Доля промо у конкурентов (Промо-давление конкурентов, Nielsen/мониторинги).
Конкуренция	Выкладка		NEW-REP-16: SOS (Share of Shelf) (Доля полки Дикси vs Конкуренты, данные аудитов).
Конкуренция	Операции		NEW-REP-17: OSA Benchmark (Доступность товара на полке у конкурентов, сравнение OOS).
Конкуренция	Поставщики		NEW-REP-18: Бренды у конкурентов (Какие производители и бренды представлены у конкурентов).
Экономика	Ассортимент	REP-01: Ключевые показатели	NEW-REP-19: ABC/XYZ анализ (Классическая матрица популярности\стабильности).
Экономика	Ассортимент	REP-02: Ключевые показатели по кварталам	NEW-REP-20: «Хвост» и Новинки (Здоровье ассортимента).
Экономика	Ассортимент	"REP-03: Ключевые показатели 
в разрезе подгрупп."	NEW-REP-21: Waterfall P&L (Наглядная структура расходов от Gross Sales до Net Margin)
Экономика	Цена/Промо	REP-16: Обзор показателей основного промо.	NEW-REP-22: Пост-анализ промо (Uplift, Baseline erosion - показывает, насколько промо каннибализируем регулярные продажи).
Экономика	Цена/Промо	REP-15: ДДинамика показателей: LFL, пенетрация, доля e-com.	
Экономика	Выкладка		NEW-REP-23: Эффективность планограммы (Продажи/Маржа на 1 погонный метр).
Экономика	Операции	REP-17: Товарные запасы и потери.	NEW-REP-24: OSA (On Shelf Availability): % времени наличия товара на полке (не просто сток > 0).
Экономика	Поставщики	REP-12: ТОП-20 производителей.	NEW-REP-25: Back Margin Report (Детальный анализ бонусов и компенсаций от поставщиков).
Экономика	Поставщики	REP-18: Аналитика СТМ.	NEW-REP-26: Service Level (Уровень недопоставок от поставщиков).
